Title, Category, Opinions
"""Złote gody"" Leszka Millera i jego żony. Gratulacje popłynęły także od Joachima Brudzińskiego","Polityka","0"
"Jezuita oburzony wielkanocnym spotem premiera Morawieckiego. ""Ten film jest programem wyborczym""","Polityka","0"
"Pawłowicz zaatakowała ambasador USA za życzenia z okazji Pesach. ""Ktoś nas próbuje sprowokować""","Polityka","0"
"""Znowu będzie jeździł autobus"". W wielkanocnych życzeniach wystąpiła ""piątka Kaczyńskiego""","Polityka","0"
"Wybory do Parlamentu Europejskiego 2019. Ilu europosłów w PE ma Polska?","Polityka","0"
"Wybory do Parlamentu Europejskiego 2019. Ilu europosłów liczy Parlament Europejski?","Polityka","0"
"Ponad 100 mln zł od resortu kultury na muzeum fundacji o. Rydzyka. Powodem ""realne koszty""","Polityka","0"
"Kapelani w Izbach Administracji Skarbowej. Resort finansów ujawnia zarobki duchownych","Polityka","0"
"Przedwyborcza wojenka na prawicy. Wilk do Macierewicza: Słychać wycie - znakomicie!","Polityka","0"
"Śpiewak komentuje słowa Jakiego o zwrocie mienia. Odsyła go do szkoły. ""To prawny analfabeta""","Polityka","0"
"Broniarz po rozmowach: Strona rządowa nie miała żadnego pomysłu, żadnego planu","Polityka","0"
"Powstanie w getcie. IPN ""poprawił"" cytat z ""Medalionów"" Nałkowskiej. ""Ludzie (Niemcy) ludziom zgotowali ten los""","Polityka","0"
"Schetyna chce debaty z Kaczyńskim. KE składa obietnice - realizacja po wygranych wyborach","Polityka","0"
"Były agent na polecenie szefa CBA miał szukać haków. ""Na Wojtunika nie można było nic znaleźć""","Polityka","0"
"""Rz"": Strajk nauczycieli pokrzyżował plany PiS. Chodzi o rekonstrukcję rządu","Polityka","0"
"Małgorzata Kidawa-Błońska w Gazeta.pl: Rząd obraża godność nauczycieli","Polityka","0"
"""Osłabiając PiS, osłabiacie Polskę"". Macierewicz komentuje start Brauna i Michalkiewicza do PE","Polityka","0"
"Wybory do Parlamentu Europejskiego. Kandydaci Koalicji Europejskiej do Parlamentu Europejskiego [LISTA]","Polityka","0"
"Wybory do Parlamentu Europejskiego. Kandydaci Zjednoczonej Prawicy do Parlamentu Europejskiego [LISTA]","Polityka","0"
"Kandydaci Wiosny Roberta Biedronia do Parlamentu Europejskiego [LISTA]","Polityka","0"
"Uczelnia w USA odwołała wykład Legutki, ale i tak się odbył. ""Przeprowadzono mnie tylnym wejściem""","Polityka","0"
"Były poseł Samoobrony pozwie szkołę syna w przypadku odwołania matur. ""Omówiłem to z prawnikami""","Polityka","0"
"Akt oskarżenia wobec ginekologa z Zabrza. Według prokuratury M. miał zgwałcić 26 pacjentek","Polityka","0"
"Ustawa PiS o Sądzie Najwyższym ""niezgodna z Konstytucją""? Opozycja: Bolszewickie standardy","Polityka","0"
"Okrągły stół ws. edukacji na Stadionie Narodowym 26 kwietnia. Rozmowy na temat czterech obszarów","Polityka","0"
"""ABW szuka haków na dziennikarzy TVN"". Echa publikacji ""Wyborczej"", poseł PO pisze do szefa agencji","Polityka","0"
"PiS boi się powtórki z Kujdy. Morawiecki i Kaczyński wstrzymują decyzję ws. schedy po nim","Polityka","0"
"Płażyński chce wyjaśnień od Dulkiewicz. Chodzi o zakup dwóch maskotek, ramek na zdjęcia i książki","Polityka","0"
"Strajk nauczycieli trwa. Wciąż nie ma porozumienia. Rząd proponuje 120 złotych podwyżki","Polityka","0"
"Rzecznik prezydenta: pierwsza dama rozmawiała o strajku nauczycieli z Morawieckim i Teresą Czerwińską","Polityka","0"
"PiS znów chce zmieniać ustawę o Sądzie Najwyższym. Nowelizacja już trafiła do Sejmu","Polityka","0"
"Tadeusz Cymański: Niech PO powie, tak jak na chrzcie. Czy wyrzekasz się euro przedwczesnego?","Polityka","0"
"Sławomir Broniarz zdradził nowe propozycje nauczycieli. Ruszyły kolejne rozmowy z rządem","Polityka","0"
"Magdalena Adamowicz zaprosiła posłankę PiS na kawę. Krystyna Pawłowicz: proszę powstrzymać swą nienawiść","Polityka","0"
"Kto podpisze deklarację Kaczyńskiego? Poseł PO kpi, Kukiz ""za"", ale ma też swoją propozycję","Polityka","0"
