Title,Category,Opinions
"Kupujemy coraz mniej rosyjskiej ropy","Gospodarka","0"
"Dlaczego nastąpił cud gospodarczy Japonii?","Gospodarka","0"
"Dlaczego skończył się cud gospodarczy Japonii?","Gospodarka","0"
"W poszukiwaniu wyższej inflacji","Gospodarka","0"
"Włochy na skraju recesji, Turcja w kryzysie, a Polska z nadmiernym deficytem","Gospodarka","0"
"Potrzebujemy nowego otwarcia we współpracy z Niemcami","Gospodarka","0"
"Potrzebujemy nowego otwarcia we współpracy z Niemcami","Gospodarka","0"
"Polska przeznaczy 140 mld złotych na energię odnawialną","Gospodarka","0"
"Wysoka produkcja przemysłowa w Polsce. Znacznie powyżej prognoz ekonomistów","Gospodarka","0"
"Przemysł nie przejmuje się ogłaszanym przez ekonomistów potencjalnym spowolnieniem","Gospodarka","0"
"Rosną ceny produktów rolnych. Przełoży się to na ceny żywności","Gospodarka","0"
"Polska w G20? Są na to szanse","Gospodarka","0"
"Coraz więcej pracujących emerytów. To dobra wiadomość","Gospodarka","0"
"Fitch podnosi prognozy wzrostu gospodarczego dla Polski","Gospodarka","0"
"Nastroje w przemyśle nie poprawiają się. PMI po raz kolejny poniżej 50 punktów","Gospodarka","0"
"Pomimo wysokiej konsumpcji, inflacja w Polsce ciągle na stosunkowo niskim poziomie","Gospodarka","0"
"Bezrobocie: najlepsze dane za luty od początku transformacji gospodarczej","Gospodarka","0"
"Dane handlowe za styczeń. Pierwszy raz od maja eksport rósł szybciej niż import","Gospodarka","0"
"NBP wierzy w polską gospodarkę. Prognozuje wysoki wzrost","Gospodarka","0"
"Premier szacuje, że koszty obietnic wyborczych wyniosą 40 mld złotych","Gospodarka","0"
"PMI dla polskiego przemysłu najniższe od sześciu lat! Jeden z gorszych wyników w Europie","Gospodarka","0"
"Dane kwartalne PKB nieco gorsze niż dotychczas, ale na razie nie ma powodu do paniki","Gospodarka","0"
"Ruszył program ""Mama 4 plus"". Wiek niektórych kobiet jest imponujący","Gospodarka","0"
"Polska w trzydziestce krajów o największym dobrobycie. Musimy jednak popracować nad innowacyjnością","Gospodarka","0"
"Komisja Europejska chwali Polskę za wyniki gospodarcze, ale zauważa też potencjalne problemy","Gospodarka","0"
"Sprzedaż detaliczna wyraźnie w górę. Analitycy po raz kolejny nie trafili z danymi","Gospodarka","0"
"Warszawa to nie cała Polska i ten ranking to potwierdza","Gospodarka","0"
"Produkcja przemysłowa znacznie powyżej oczekiwań analityków","Gospodarka","0"
"Jednak jest nadzieja na polski grafen. Do gry wchodzi Grupa Azoty","Gospodarka","0"
"Bezrobocie w Polsce wynosi 3,5 proc., a nasz rynek pracy w szkole dostałby słabą tróję","Gospodarka","0"
"Dynamika PKB najniższa od półtora roku","Gospodarka","0"
"Spowolnienie w strefie euro mocno nie zaszkodzi Polsce","Gospodarka","0"
"Wzrost PKB powyżej oczekiwań analityków. Gospodarka rozwijała się najszybciej od 10 lat","Gospodarka","0"
"Polska z nierównościami dochodowymi na poziomie USA","Gospodarka","0"
"Ukraina ma nowego prezydenta!","Gospodarka","0"
"Większośc Ukraińców chce pracować i mieszkać w Polsce","Gospodarka","0"
"Kraje skandynawskie są bogate dzięki, a nie pomimo socjaldemokracji","Gospodarka","0"
"Finlandia otwiera nową kopalnie i zwiększa trzykrotnie wydobycie srebra","Gospodarka","0"
"W Europie ciągle niskie bezrobocie. Czesi z niespotykanym rezultatem","Gospodarka","0"
"W niemieckim przemyśle panują fatalne nastroje","Gospodarka","0"
"Maraton wyborczy u naszych sąsiadów. Wszyscy chcą bliższych relacji z UE","Gospodarka","0"
"Ukraińska gospodarka odnotowała najszybszy wzrost gospodarczy od 2011 roku","Gospodarka","0"
"Europa się starzeje, a wkrótce zacznie wymierać","Gospodarka","0"
"Turcja popadła w recesję pierwszy raz od światowego kryzysu gospodarczego","Gospodarka","0"
"Wzrost gospodarczy w 2018 roku. Wyraźne różnice w rozwoju Wschodu i Zachodu Europy","Gospodarka","0"
"Unia Europejska wprowadza quasi-wizy. Również dla Amerykanów","Gospodarka","0"
"Włochy ogarnięte recesją, Niemcy na jej skraju. Dane Eurostatu za IV kwartał 2018","Gospodarka","0"
"EBC nie podziela optymizmu NBP. Rewiduje swoje prognozy dla strefy euro","Gospodarka","0"
"Polska bogatsza od Portugalii. Jesteśmy świadkami gospodarczego przebiegunowania Europy","Gospodarka","0"
"Niemiecka gospodarka a sprawa polska","Gospodarka","0"
"Koniec ze zmianami czasu w UE. Najprawdopodobniej już w 2021 roku","Gospodarka","0"
"Ukraina na drodze do niezależności gazowej","Gospodarka","0"
"Bezrobocie w Polsce jedno z najniższych w UE. Kraje Południa na szarym końcu","Gospodarka","0"
"Niemiecka gospodarka znajduje się w bardzo specyficznej i niebezpiecznej sytuacji","Gospodarka","0"
"Niemcy tworzą nową strategię przemysłową","Gospodarka","0"
"Przed Ukrainą ciężki rok","Gospodarka","0"
"Niemcy znowu imponują. Odnotowały najwyższą nadwyżkę budżetową w historii","Gospodarka","0"
"Węgrzy chcą umarzać kredyty i znosić podatki. Wszystko w ramach polityki prorodzinnej","Gospodarka","0"
"Niemiecka gospodarka napędza handel w Unii Europejskiej i generuje potężne nadwyżki handlowe","Gospodarka","0"
"Macedonia bliska wstąpienia do NATO. Czy kolejnym krokiem będzie UE?","Gospodarka","0"
"Doświadczenia Czarnogóry z jednostronną euroizacją","Gospodarka","0"
"MFW podał prognozy wzrostu dla światowej gospodarki","Gospodarka","0"
"Komisja Europejska opublikowała nowe prognozy wzrostu PKB w UE","Gospodarka","0"
"Czekając na następny kryzys światowy","Gospodarka","0"
